subset	characteristic	PER	PER	PER	PER	LOC	LOC	LOC	LOC	ORG	ORG	ORG	ORG	OTH	OTH	OTH	OTH
subset	characteristic	FNc	FNt	TPc	TPt	FNc	FNt	TPc	TPt	FNc	FNt	TPc	TPt	FNc	FNt	TPc	TPt
TruePosIntersect	m. r.	4	253	4	253	47	553	47	553	5	97	5	97	0	63	0	63
TruePosIntersect	m. c.	0	253	0	253	29	553	29	553	0	97	0	97	0	63	0	63
TruePosIntersect	C > 0	0	253	0	253	0	553	0	553	0	97	0	97	0	63	0	63
TruePosIntersect	D > 0	0	253	0	253	29	553	29	553	0	97	0	97	0	63	0	63
TruePosIntersect	has c	0	253	0	253	29	553	29	553	0	97	0	97	0	63	0	63
TruePosIntersect	has m	0	253	0	253	15	553	15	553	0	97	0	97	0	63	0	63
TruePosIntersect	has f	4	253	4	253	41	553	41	553	5	97	5	97	0	63	0	63
FalseNegIntersect	m. r.	39	109	4	253	71	157	47	553	41	146	5	97	45	226	0	63
FalseNegIntersect	m. c.	32	109	0	253	65	157	29	553	23	146	0	97	29	226	0	63
FalseNegIntersect	C > 0	20	109	0	253	29	157	0	553	21	146	0	97	25	226	0	63
FalseNegIntersect	D > 0	14	109	0	253	41	157	29	553	2	146	0	97	4	226	0	63
FalseNegIntersect	has c	8	109	0	253	25	157	29	553	1	146	0	97	3	226	0	63
FalseNegIntersect	has m	6	109	0	253	15	157	15	553	3	146	0	97	2	226	0	63
FalseNegIntersect	has f	16	109	4	253	27	157	41	553	24	146	5	97	24	226	0	63
FalseNegExB	m. r.	54	279	4	253	185	495	47	553	88	385	5	97	67	384	0	63
FalseNegExB	m. c.	36	279	0	253	167	495	29	553	54	385	0	97	39	384	0	63
FalseNegExB	C > 0	23	279	0	253	43	495	0	553	51	385	0	97	34	384	0	63
FalseNegExB	D > 0	15	279	0	253	132	495	29	553	3	385	0	97	5	384	0	63
FalseNegExB	has c	9	279	0	253	94	495	29	553	1	385	0	97	4	384	0	63
FalseNegExB	has m	6	279	0	253	42	495	15	553	5	385	0	97	2	384	0	63
FalseNegExB	has f	28	279	4	253	67	495	41	553	44	385	5	97	39	384	0	63
